formula,problem,target_noise,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
???,feynman_test_7,0,(0.7195868389660326 add ((1.0916764310100497 mul x_0) sub (-0.11625954997043254 mul (inv((-9.129286834993225 add (1.0590100380046594 mul x_0))) mul ((-89.2423117968544 mul x_1) add ((25.50356156865751 mul exp(((0.6257557869889736 mul x_2) add (-1.356802514864987 mul x_4)))) sub (-9.399482853003509 mul x_3))))))),0.00045015,0.990398386,1,0,0,1,33,0.990544412,1,0,0,1,33,45.21063542,5
???,feynman_test_8,0,(0.5463437295960083 add ((-1.0911667749205616 mul x_0) sub ((-0.052462798401294045 mul x_3) sub (-0.13415848084563892 mul (((-0.01901061766103633 mul x_2) add (-1.827565472061633 mul cos((1.5423196353971271 add (0.1896292069877705 mul x_0))))) mul ((-2.5400679150217242 mul x_1) sub ((-7.526320746832279 mul x_2) add (67.29337262670091 mul sin(((0.2977226541552405 mul x_2) add (-18.786806254406418 mul inv((-21.343399294481802 add (-38.74950778806953 mul x_3)))))))))))))),0.000753289,0.991950902,0,0,0,1,48,0.991857483,0,0,0,1,48,2047.221139,4
???,feynman_test_9,0,(-97.07804706763129 add (((6.960123196587475 add (-11.671108196228278 mul x_3)))**2 mul (exp(((-4.214618624103667 mul x_4) add ((2.485766475246443 mul x_0) add (-3.927965338242562 mul x_1)))) mul ((-2.1895721658341447 add (-3.06436059662279 mul x_2)))**3))),0.005850411,0.99375537,0,0,0,0,28,0.993430864,0,0,0,0,28,159.5168719,5
mom*sqrt(Bx**2+By**2+Bz**2),feynman_III_10_19,0.001,(0.9191973181798476 add (((0.21970852130302862 mul x_1) sub ((-0.22770379843741767 mul x_3) add ((-0.22391898923877573 mul x_2) sub (0.010484977502075339 mul x_0)))) mul abs((-0.31732345337916384 add (2.6134571780363367 mul x_0))))),0.001216308,0.99264795,0,0,0,1,24,0.992631201,0,0,0,1,24,47.29716802,4
n*(h/(2*pi)),feynman_III_12_43,0.001,(-0.00023422212709216394 add (((-2.6520673312732734e-05 mul x_1) add (-0.31784683788717444 mul x_0)) mul ((-0.5006702630298716 mul x_1) sub (0.00017028005124599183 mul arctan(((6.100002367902907 mul ((-9.29999943332725 add (48.00000071163484 mul x_0)))**2) add (0.30000000113831593 mul x_0))))))),1.00E-06,0.999995868,1,0,1,1,29,0.999999996,1,1,1,1,29,23.01536345,2
2*E_n*d**2*k/(h/(2*pi)),feynman_III_13_18,0.001,(-4.095344448322522 add ((((0.037713989477585266 add (1.3041859766099826 mul x_1)))**2 mul ((-1.3850301832097212 add (-0.4793820533403475 mul x_0)))**2) mul (inv((0.05440603055375259 add (2.396546154929189 mul x_3))) mul abs((-0.10999889797496712 add (-6.39194664471129 mul x_2)))))),0.001022755,0.998237679,0,0,0,0,29,0.998279457,0,0,0,0,29,68.88978648,4
I_0*(exp(q*Volt/(kb*T))-1),feynman_III_14_14,0.001,(-3.08419586817742 add ((1.2212056898025525 mul x_1) add ((0.9826924796726375 mul x_2) sub ((-0.6791429510365252 mul x_0) sub (41.83148483895103 mul (exp(((-2.0067107969563467 mul x_3) add (1.5396815769223928 mul x_1))) mul exp(((1.6412563973676333 mul x_2) add ((0.9483790805193499 mul inv((-13.979174409583033 add (15.936606743151236 mul x_4)))) sub ((1.6063130946955657 mul x_4) sub (-197.05010018379437 mul inv((45.14787447112572 add (14.701654946758982 mul x_0)))))))))))))),0.004820051,0.990379731,0,0,0,0,51,0.990891763,0,0,0,0,51,7611.677218,5
2*U*(1-cos(k*d)),feynman_III_15_12,0.001,(-0.3395808130520252 add ((6.023546179422328 mul cos((3.1261281640200305 add (0.03463989839360922 mul (x_1 mul abs((0.04807335181324604 add (28.91826510773908 mul x_2)))))))) sub (-2.1446159076323412 mul x_0))),0.04100865,0.897976734,0,0,0,0,21,0.89837675,0,0,0,0,21,3541.371985,3
(h/(2*pi))**2/(2*E_n*d**2),feynman_III_15_14,0.001,(-1.789492163271255e-05 add (inv((-1.236795679616596 add (1.0042906933180043e-05 mul (((-33.023952151645844 add (-13.638013828716941 mul x_1)))**2 mul ((1.559401352892748 add (14.880915461914093 mul x_2)))**2)))) mul tan((-0.2487060380741953 add (0.24537667088288506 mul x_0))))),0.002650915,0.996370285,1,0,0,0,27,0.996316508,1,0,0,0,27,224.0549958,3
2*pi*alpha/(n*d),feynman_III_15_27,0.001,(-0.0008247987313730272 add (inv((0.0008184103681648633 add (1.843276348119392 mul x_2))) mul (inv((0.0001846462307981049 add (1.5936238404794558 mul x_1))) mul abs((0.013325058340854925 add (18.461842141753962 mul x_0)))))),1.02E-06,0.999997646,1,0,1,1,22,0.999999981,1,1,1,1,22,38.60383272,3
beta*(1+alpha*cos(theta)),feynman_III_17_37,0.001,(0.00012701652135032067 add (abs((0.0005674355457537264 add (11.344663380365168 mul x_0))) mul ((-0.08978099655096607 mul cos((2.950542045431195 add (-0.00032329178210661175 mul x_2)))) add (0.08814150810129646 mul (x_1 mul cos((-1.432787588562278e-05 add (-1.0000053065127892 mul x_2)))))))),9.93E-07,0.999998966,1,0,0,1,28,0.999999996,1,1,1,1,28,855.3201318,3
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),feynman_III_19_51,0.001,(-0.004787621209326392 add (inv((-21.70396404780036 add (-2.4381300185531773 mul (((-1.4626413954059396 add (9.87633046511736 mul x_3)))**2 mul ((0.041859544622325294 add (-0.44841922958556324 mul (x_4 mul x_2))))**2)))) mul (((-5.846798695088551 add (3.075066837721656 mul x_1)))**2 mul ((-0.4722426456141305 mul x_2) sub (-31.46706667462505 mul x_0))))),0.006690202,0.992983928,0,0,0,0,37,0.992819753,0,0,0,0,37,376.3841772,5
#NAME?,feynman_III_21_20,0.001,(0.1686165664959542 add (((-0.09441777276952071 add (-0.032203808750412566 mul x_1)))**2 mul (((-2.5931060871506095 add (-0.8731602053835091 mul x_0)))**2 mul (inv((0.00773907031107576 add (-0.6988407052940444 mul x_3))) mul abs((-0.06324972215845041 add (-5.938710551530405 mul x_2))))))),0.002022839,0.99566264,0,0,0,0,29,0.995580654,0,0,0,0,29,101.8687117,4
1/(exp((h/(2*pi))*omega/(kb*T))-1),feynman_III_4_32,0.001,(-0.764198992239966 add (inv((0.005670820790475107 add (0.17896449595308236 mul x_0))) mul (inv((0.4431505093235742 add (12.568325287923635 mul x_1))) mul ((5.96975993518471 add (3.3043249850929537 mul (x_3 mul sin((-3.076525565594765 add (-0.21646173809673716 mul x_2)))))))**2))),0.003451074,0.993492802,0,0,0,0,29,0.993651536,0,0,0,0,29,322.6063108,4
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),feynman_III_4_33,0.001,(0.7462076309730762 add ((-0.024178616646888685 mul x_3) add ((-0.21451097226299626 mul x_1) sub ((0.02642809692014242 mul x_2) add ((0.22024969555589083 mul x_0) sub (1.003616803129994 mul (x_2 mul x_3))))))),9.44E-05,0.999652007,1,0,0,1,23,0.999650887,1,0,0,1,23,67.80259013,4
2*mom*B/(h/(2*pi)),feynman_III_7_38,0.001,(-0.5552399931082417 add (((0.7278847470031029 add (0.24701258913865254 mul x_1)))**2 mul (inv((0.012057716657635524 add (1.2150307045184627 mul x_2))) mul abs((-0.4709241376535306 add (-20.621415824398543 mul x_0)))))),0.000999035,0.997403612,0,0,0,0,22,0.997467322,0,0,0,0,22,43.63693476,3
sin(E_n*t/(h/(2*pi)))**2,feynman_III_8_54,0.001,(0.5000475992548068 add (sin((7.7282449781163844 add (0.0003903635302094765 mul x_2))) mul (cos((-0.07117451669948696 add (0.04156139617223475 mul x_1))) mul (sin((7.854270247880355 add (-166.3447352592521 mul (x_1 mul (x_0 mul inv((0.0003800244637705416 add (13.23683214155405 mul x_2)))))))) mul cos((-10.467652086390286 add (0.00016836193800807785 mul x_0))))))),1.03E-06,0.999997043,1,0,0,1,38,0.999999946,1,0,0,1,38,736.7075586,3
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,feynman_III_9_52,0.001,(2.536000455488549 add (exp(((0.5368343426833297 mul x_0) add (-0.6457894227813578 mul x_3))) mul ((((0.5486930407426265 mul arctan((-0.0795794204427766 add (0.6282637621792133 mul x_1)))) add (0.5095300328045117 mul cos(((-0.9758656988863301 mul x_4) add (0.9768156524391581 mul x_5))))))**2 mul ((7.04735541433403 mul x_1) add (-27.39931044289937 mul arctan((0.5661591396308915 add (-0.6138724042597726 mul x_2)))))))),0.028160748,0.941073441,0,0,0,0,44,0.939796208,0,0,0,0,44,3029.370969,6
sigma_den/epsilon*1/(1+chi),feynman_II_10_9,0.001,(0.012329284548205761 add (inv((0.239493133633966 add (0.25765820021298746 mul x_2))) mul inv(((0.7091259002625526 mul x_1) add (4.908240364544029 mul exp(((-0.7997459088206427 mul x_0) add (0.47814835719954923 mul x_1)))))))),0.001488585,0.995894382,0,0,0,0,24,0.99587007,0,0,0,0,24,43.7839632,3
n_rho*p_d**2*Ef/(3*kb*T),feynman_II_11_20,0.001,(0.08581664130663318 add ((inv((-0.6219298611504104 add (12.346938194637227 mul x_3))) mul (inv((1.2695669937694694 add (14.987936869392497 mul x_4))) mul ((-0.6034763085395168 add (9.544527812136305 mul x_1)))**2)) mul (((0.011930896511276335 mul x_1) sub (-13.464048966555984 mul x_2)) mul ((-0.004356023517964514 mul x_4) sub (-0.2804691131880716 mul exp((-1.519443954990195 add (0.3117635197066784 mul x_0)))))))),0.003532768,0.99462469,0,0,0,0,43,0.99432913,0,0,0,0,43,1735.958278,5
n*alpha/(1-(n*alpha/3))*epsilon*Ef,feynman_II_11_27,0.001,(-0.03549521906223957 add (((0.053677727795331115 add (0.1458398351907531 mul x_0)))**2 mul (((2.445451461341146 add (6.764037159245264 mul x_1)))**2 mul exp(((0.6350226144798402 mul x_3) add (-2.2598940130300407 mul exp((0.16011763152235045 add (-0.7001791989778139 mul x_2))))))))),0.003768802,0.992846462,0,0,0,0,29,0.992633474,0,0,0,0,29,62.11101198,4
1+n*alpha/(1-(n*alpha/3)),feynman_II_11_28,0.001,(3.735976916287067 add (cos((-6.227073929481497 add (-0.1539257623521162 mul (x_0 mul (x_0 mul inv((1.6827753935580525 add (-1.3606972389135095 mul x_1)))))))) mul ((-0.001279264687934571 mul x_1) sub (-3.194562962419699 mul cos((-2.599944817010469 add (0.5922962429839917 mul (x_0 mul x_1)))))))),3.34E-06,0.999930113,1,0,1,1,32,0.999949752,1,0,1,1,32,23.2705853,2
q*Ef/(m*(omega_0**2-omega**2)),feynman_II_11_3,0.001,(-0.007554647713064714 add ((inv((0.24642394057571157 add (5.056387680721422 mul x_2))) mul (inv((-0.24176322232551858 add (0.1142194059180469 mul x_3))) mul exp(((0.2890349870382682 mul x_4) add (0.4810562470841571 mul x_0))))) mul sin((0.002648492805521589 add (0.039118441795112216 mul x_1))))),0.002543467,0.992157677,0,0,0,0,31,0.992257322,0,0,0,0,31,613.7311239,5
1/(4*pi*epsilon*c**2)*2*I/r,feynman_II_13_17,0.001,(4.709366975345875e-05 add (inv((-20.976163241436804 add (1379.2595963823542 mul x_0))) mul exp(((0.3305566950265583 mul x_2) add ((0.0024414016607555585 mul exp((7.080460736953397 add (-0.42666260376340853 mul x_3)))) add (2.000974354795737 mul exp((1.0532330853598122 add (-0.5046704613497622 mul x_1))))))))),0.004129866,0.994289868,0,0,0,0,31,0.994577002,0,0,0,0,31,258.761312,4
rho_c_0/sqrt(1-v**2/c**2),feynman_II_13_23,0.001,(-0.2066788218355899 add ((1.6878466191664447 mul inv(((9.033569871780301 mul exp((1.0397907497347159 add (-1.823882211886727 mul x_1)))) add (-7.732730364455024 mul arctan(((-0.1388678606246136 mul x_2) add (0.08385799049352186 mul x_0))))))) add (1.0084283758274903 mul x_0))),5.89E-05,0.999550809,1,0,0,1,28,0.999549012,1,0,0,1,28,46.11156654,3
rho_c_0*v/sqrt(1-v**2/c**2),feynman_II_13_34,0.001,(-0.29390650857344186 add (inv((9.686763434744565 add (-1.0093311841026096 mul x_1))) mul ((2.05430915296722 mul x_0) add (2.561391035559477 mul (x_1 mul ((2.7778071613835653 mul x_0) sub (50.61318882562596 mul inv((42.55748547392383 add (-22.67187342229646 mul x_2)))))))))),0.000435095,0.997392951,0,0,0,1,29,0.997428203,0,0,0,1,29,42.29080009,3
#NAME?,feynman_II_15_4,0.001,(-0.03096418653414558 add (((1.2713286078967267 add (0.43059707670143693 mul x_0)))**2 mul (cos((-3.1467209742495434 add (-0.9984502631577125 mul x_2))) mul abs((0.0006730055111794173 add (0.4420968422106416 mul x_1)))))),0.001000522,0.998403688,0,0,0,0,22,0.998403679,0,0,0,0,22,49.59168124,3
#NAME?,feynman_II_15_5,0.001,(0.0008120632787800198 add (abs((0.001387262831799117 add (119.33498317647573 mul (x_0 mul sin((-9.424779166941228 add (0.008381999553474196 mul x_1))))))) mul sin((-1.5707076068683472 add (-1.000017467190949 mul x_2))))),1.01E-06,0.999998394,1,0,0,1,22,0.999999987,1,0,1,1,22,48.33953333,3
q/(4*pi*epsilon*r*(1-v/c)),feynman_II_21_32,0.001,(0.0007485133945692334 add (inv((0.0323078019551927 add (-1.3811720718191194 mul x_2))) mul (inv((0.9009704712349105 add (-45.41106185746304 mul x_1))) mul ((5.458550122522782 mul x_0) sub (-14.246442141757452 mul exp(((-0.46170980537081585 mul x_4) add (0.24157428323099817 mul (x_0 mul x_3))))))))),0.002338077,0.994804923,0,0,0,0,32,0.994979612,0,0,0,0,32,131.4550104,5
sqrt(omega**2/c**2-pi**2/d**2),feynman_II_24_17,0.001,(-61.63137132060849 add ((-51.10602464328286 mul (inv((-0.0001402835801646857 add (-0.001074602622079095 mul x_1))) mul ((-8.683278595442989e-05 mul x_1) add (2.4443597243612015e-05 mul x_0)))) sub (-2.4778079429988704 mul ((5.105598630732975 add (0.005480634767558304 mul x_2)))**2))),9.64E-05,0.99850825,1,0,0,1,27,0.998498263,1,0,0,1,27,85.96915507,3
epsilon*c*Ef**2,feynman_II_27_16,0.001,(0.006120586736521077 add (((0.000526014522560421 add (-0.8820691367228813 mul x_2)))**2 mul (abs((0.001937129865899024 add (6.012978075746936 mul x_0))) mul abs((-4.2923376503807334e-05 add (0.21379007639444336 mul x_1)))))),9.95E-07,0.999997937,1,0,0,1,22,0.999999986,1,1,1,1,22,37.64404631,3
epsilon*Ef**2,feynman_II_27_18,0.001,(0.005038856820705091 add (((-0.00033161019501155674 add (0.3858195684400831 mul x_1)))**2 mul abs((0.0030025497103394762 add (-6.720976609068716 mul x_0))))),1.01E-06,0.999997499,1,0,0,1,15,0.999999993,1,1,1,1,15,28.6993854,2
kappa*(T2-T1)*A/d,feynman_II_2_42,0.001,(0.003962364487600206 add ((exp((3.351216646489108 add (0.32438987032748046 mul x_3))) mul (inv((-0.48585296030308056 add (11.720088897099718 mul x_4))) mul ((-6.636674304539787 mul x_1) add (6.642137587948464 mul x_2)))) mul abs((-0.0013524422110993276 add (-0.06382889291672765 mul x_0))))),0.003690037,0.996309934,0,0,0,0,30,0.996316559,0,0,0,0,30,75.54220176,5
g_*q*B/(2*m),feynman_II_34_11,0.001,(-0.08068263137669063 add (((0.0823774172896523 add (0.02750292008013241 mul x_1)))**2 mul (((-3.5676312940882156 add (-1.2164595975809247 mul x_0)))**2 mul (inv((0.0018671365069182488 add (6.536765401912556 mul x_3))) mul abs((-0.6768382873826576 add (-19.384802385074533 mul x_2))))))),0.002010415,0.995695494,0,0,0,0,29,0.99560301,0,0,0,0,29,76.01136184,4
q*v*r/2,feynman_II_34_2,0.001,(-0.3403915442913299 add (((0.10636447399321751 add (0.03527921842655204 mul x_0)))**2 mul (abs((0.47873097125731945 add (9.385792780980227 mul x_1))) mul abs((0.1653646883864684 add (3.3974268774093184 mul x_2)))))),0.000972838,0.997127901,0,0,0,0,22,0.997147552,0,0,0,0,22,42.55287862,3
q*h/(4*pi*m),feynman_II_34_29a,0.001,(0.017636298797794367 add (inv((-1.8739170678067962 add (106.12863447239286 mul x_2))) mul (((0.032834071553192797 mul x_0) sub ((0.0016500275871333323 mul x_2) sub (-0.00037610493082059285 mul x_1))) mul abs((-55.52663033178796 add (271.89202488514536 mul x_1)))))),0.000160159,0.999584542,0,0,0,1,27,0.999581377,0,0,0,1,27,44.29752064,3
g_*mom*B*Jz/(h/(2*pi)),feynman_II_34_29b,0.001,(-0.3212279965754573 add ((((-0.3943520268208642 add (-0.13479722840168037 mul x_4)))**2 mul (inv((-0.006297830198256208 add (0.6070473076399545 mul x_1))) mul ((-0.0006109777601626498 mul ((-11.092213143883946 add (-4.0252044461326415 mul x_0)))**2) sub (-109.26240796592016 mul x_3)))) mul ((0.15786804231238732 mul (x_0 mul x_2)) sub (0.0006655613196686726 mul inv((2.871717041667548 add (-1.6239277243491033 mul (x_3 mul x_2)))))))),0.000994388,0.998145545,0,0,0,0,45,0.998189023,0,0,0,0,45,541.3358512,5
q*v/(2*pi*r),feynman_II_34_2a,0.001,(0.007551376260891017 add ((-0.013138053607087493 mul x_0) add (0.24445868838479218 mul (((0.13179032797064952 mul x_1) sub (-1.265499517720111 mul exp(((-0.912911498817937 mul x_2) add (0.3096011520899274 mul x_1))))) mul ((-0.011944824971944296 mul x_1) sub (-1.1020058179405623 mul x_0)))))),0.00179703,0.995346808,0,0,0,0,30,0.995457985,0,0,0,0,30,51.23981309,3
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),feynman_II_35_18,0.001,(-0.011728153527503784 add (((-3.5568660905608036 mul x_0) sub (1.3225012136420926 mul abs((-0.4128869884240676 add (0.14608757777992865 mul x_2))))) mul ((0.14285397453063545 mul arctan((-0.061767063253528494 add (-1.2586385046799438 mul (inv((-0.08192235565936451 add (-7.853912930291369 mul (x_3 mul inv((0.03517642195772173 add (-4.72778526726437 mul x_2))))))) mul x_1))))) sub ((-0.029789752625290482 mul x_4) sub (-0.001708356370371998 mul x_3))))),0.004588916,0.978894069,0,0,0,0,45,0.979030486,0,0,0,0,45,8791.717172,5
n_rho*mom*tanh(mom*B/(kb*T)),feynman_II_35_21,0.001,(-0.39647956880081636 add (((0.05444956264115826 add (0.00010288707749142686 mul x_0)))**2 mul (abs((-1.3273930345912501 add (134.7512092785338 mul (x_1 mul x_0)))) mul ((0.012192932383496632 mul abs((-123.78214309713839 add (3.178850668251461 mul x_0)))) sub (1.2495651354503825 mul sin(((0.2203863551963734 mul x_1) add ((0.32448784423868104 mul x_2) sub (983.7772438365814 mul inv((-288.96185659722215 add (-24.565702061039026 mul (x_4 mul x_3))))))))))))),0.001878922,0.994682815,0,0,0,0,48,0.994496461,0,0,0,0,48,9074.165881,5
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,feynman_II_36_38,0.001,(0.045970233430303445 add (inv((-0.6542170905406729 add (16.875024912351588 mul x_2))) mul (exp(((-0.5932887111170523 mul x_3) add (0.49532966819761626 mul x_0))) mul ((19.82450671837757 mul x_1) add (9.51635225603775 mul exp(((-0.6317892716529553 mul x_5) add ((-1.358763098349687 mul x_6) sub (-3.5500951885258645 mul arctan((0.5216598470587409 add (0.39162117735304774 mul (x_7 mul x_4))))))))))))),0.003871905,0.987765643,0,0,0,0,43,0.987094286,0,0,0,0,43,5586.417025,8
mom*(1+chi)*B,feynman_II_37_1,0.001,(-1.2683656925415197 add (((-1.4781557749305763 add (-0.484760633536348 mul x_1)))**2 mul (abs((0.1491997501340353 add (1.6904700743728833 mul x_0))) mul abs((-0.21551760031252964 add (-0.1951230528668236 mul x_2)))))),0.000971195,0.996769957,0,0,0,0,22,0.996622122,0,0,0,0,22,25.77733874,3
Y/(2*(1+sigma)),feynman_II_38_14,0.001,(8.727017843529093e-05 add (((-2.8620008091456377 mul x_0) add (0.0004304904732590361 mul x_1)) mul inv((-5.7246850009788925 add (-5.724106113102726 mul x_1))))),9.96E-07,0.999995282,1,0,1,1,16,0.999999994,1,1,1,1,16,23.24769187,2
Y*A*x/d,feynman_II_38_3,0.001,(-0.1600270867875206 add (inv((0.26337937894119257 add (14.619062707440134 mul x_2))) mul (((8.161049159260282 add (2.756257206880835 mul x_0)))**2 mul abs((0.0014549349342445092 add (-0.2397047709648288 mul (x_1 mul ((-0.6921435457760686 add (-0.23376964407189807 mul x_3)))**2))))))),0.00198122,0.995707134,0,0,0,0,29,0.995563736,0,0,0,0,29,117.0611019,4
Pwr/(4*pi*r**2),feynman_II_3_24,0.001,(0.008076776182072438 add (inv((-1048.930298545111 add (2162.158463348381 mul x_1))) mul (((3.2115483091084345 mul x_1) add (-703.1195742266801 mul cos((1.5549676396997103 add (-0.0037915746614535333 mul x_0))))))**2)),0.001572481,0.997300327,0,0,0,0,22,0.997203762,0,0,0,0,22,24.48449397,2
q/(4*pi*epsilon*r),feynman_II_4_23,0.001,(-8.656355031255463e-05 add (inv((0.09234627281241164 add (3.795174346983268 mul x_1))) mul inv((-0.40733599191730196 add (0.5166505316387456 mul (inv((0.8578305056653728 add (1.6454394851324396 mul x_0))) mul ((-3.245229138805584 add (-1.052550634426035 mul x_2)))**2)))))),0.002323881,0.994602846,0,0,0,0,27,0.994427336,0,0,0,0,27,39.67734075,3
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,feynman_II_6_11,0.001,(-0.00038389333679423465 add (exp(((-0.5971283602614722 mul x_0) add (-0.8086605312641773 mul x_3))) mul (sin((1.5858273305135138 add (-1.0027177420563058 mul x_2))) mul inv(((7.254379802109037 mul ((0.8363665407839372 add (-0.25824633686039006 mul x_1)))**2) add (1.0875714169632629 mul x_3)))))),0.0061302,0.992330776,0,0,0,0,31,0.992195475,0,0,0,0,31,541.7101176,4
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),feynman_II_6_15a,0.001,(0.016946534489841198 add (exp(((-4.2387144592301285 mul x_2) add (0.493724538877458 mul x_1))) mul (inv((-0.003687497763039724 add (0.10515036599708219 mul x_0))) mul exp(((0.4887041423340301 mul x_5) sub ((-0.23476302637445096 mul x_3) sub (0.20031765248081 mul x_4))))))),0.005875629,0.992643523,0,0,0,0,30,0.992277607,0,0,0,0,30,216.4564648,6
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,feynman_II_6_15b,0.001,(-0.0008649368407914516 add ((inv((0.001596390254543516 add (-0.052863859289781996 mul x_0))) mul exp(((-2.151632273142142 mul x_3) add (0.5092151274952883 mul x_1)))) mul (inv((29.374609414416184 add (0.1895794376731409 mul x_1))) mul cos((-1.493249677908494 add (-2.033864697798785 mul x_2)))))),0.006578413,0.992702837,0,0,0,0,31,0.992720473,0,0,0,0,31,63.79112697,4
epsilon*Ef**2/2,feynman_II_8_31,0.001,(-0.00423917531366632 add (((0.00041103396587870145 add (0.7706895934382334 mul x_1)))**2 mul ((0.8417419148272766 mul x_0) add (-2.4105026282468664e-05 mul cos((-1.0009890147590033 add (-0.7836427183028377 mul x_0))))))),1.01E-06,0.999997496,1,0,0,1,21,0.999999978,1,0,1,1,21,27.330791,2
3/5*q**2/(4*pi*epsilon*d),feynman_II_8_7,0.001,(-0.0006239869443370299 add (inv((0.025871895650574173 add (20.35341539719347 mul x_2))) mul exp(((-6.2289779795768165 mul cos((-5.410892948262524 add (-0.17496240789349735 mul x_1)))) add (-8.136582227700611 mul sin((-0.5232177774203073 add (-0.16116651383027275 mul x_0)))))))),0.001012207,0.998170933,0,0,0,0,27,0.998209765,0,0,0,0,27,86.46732163,3
m_0/sqrt(1-v**2/c**2),feynman_I_10_7,0.001,(-0.08533346731266858 add ((1.039038983912626 mul x_0) sub (-164.92235269879518 mul exp(((-0.5862756067378304 mul x_2) add (-6.530154124210306 mul exp((0.18073028497291233 add (-0.3967981709609907 mul x_1))))))))),0.000241133,0.998149094,1,0,0,1,21,0.998098572,1,0,0,1,21,33.87864137,3
x1*y1+x2*y2+x3*y3,feynman_I_11_19,0.001,(-771.9668517575076 add ((0.03656600831537814 mul (((0.22183049257380325 mul x_4) add (26.905390393843522 mul x_0)) mul x_3)) add ((1.7676108482059205 mul (((4.001344368237172 add (0.00012980583844101896 mul x_0)))**2 mul ((0.10384994931704734 mul x_4) sub (-4.437151664599367 mul ((2.4648266519534667 add (0.0016132401212202733 mul (x_2 mul x_5))))**2)))) sub ((-1.0732255048263908 mul x_1) sub ((1.9732255084600483 mul x_1) sub (-0.007276258984927235 mul x_5)))))),0.002227441,0.976810563,0,0,0,0,49,0.976372529,0,0,0,0,49,10993.54177,6
mu*Nn,feynman_I_12_1,0.001,(0.00032221103541729565 add (((0.010462568757728056 mul x_0) add (0.010462568757754497 mul x_0)) mul ((3.7959966262591895 mul x_1) add (43.995996626259185 mul x_1)))),1.00E-06,0.999995863,1,0,1,1,17,0.999999972,1,1,1,1,17,30.10437727,2
q*(Ef+B*v*sin(theta)),feynman_I_12_11,0.001,(0.1630631819054244 add (((-0.0844358266248073 mul (sin((0.009498227514927638 add (0.9979179255360207 mul x_4))) mul (((1.8917226990077043 mul x_3) add (8.5827860665564 mul cos((-4.440692094964657 add (-0.2829245358367783 mul x_2))))))**2)) add (-1.0584709772541345 mul x_1)) mul ((-0.9143708768647638 add (-0.15876608892127186 mul x_0)))**3)),0.005256141,0.993836663,0,0,0,0,35,0.993762612,0,0,0,0,35,100.0560887,5
q1*q2*r/(4*pi*epsilon*r**3),feynman_I_12_2,0.001,(0.002327785192900556 add (inv((-0.44201218396579717 add (5.455961344424812 mul x_2))) mul ((0.030582801880431196 add (-1.4771543007510066 mul (inv((-0.1050912652894835 add (-9.267607548210167 mul x_3))) mul ((-2.2100191526632766 mul x_1) sub (-10.187154506021445 mul sin((0.2539257543508199 add (-0.2711376220428862 mul x_0)))))))))**2)),0.004466287,0.993679145,0,0,0,0,33,0.993206129,0,0,0,0,33,403.7403214,4
q1*r/(4*pi*epsilon*r**3),feynman_I_12_4,0.001,(-3.717990031013419e-05 add (inv((0.0949449858609693 add (4.371872834975309 mul x_1))) mul inv(((8.817930060473913 mul (((0.3597643268866839 mul x_2) add (0.28885353297304456 mul cos((5.72503126878096 add (-0.4518554134350506 mul x_0))))))**2) add (0.13045998919220553 mul x_0))))),0.005247396,0.99206587,0,0,0,0,29,0.992879763,0,0,0,0,29,143.6034112,3
q2*Ef,feynman_I_12_5,0.001,(-0.002733557786662654 add ((0.0010026706234173828 mul x_1) add ((0.0008594887333477242 mul x_0) sub (-0.9997312868865003 mul (x_1 mul x_0))))),1.00E-06,0.999995842,1,0,1,1,15,0.999999985,1,1,1,1,15,41.06284428,2
G*m1*m2*(1/r2-1/r1),feynman_I_13_12,0.001,(-0.09359896338995029 add ((exp(((0.3241174092009737 mul x_4) add (0.008113021386900038 mul x_3))) mul exp(((0.3170997349993815 mul x_1) add (0.3270138900150317 mul x_0)))) mul (inv((-0.08081542749227219 add (1.0653339851714598 mul (x_2 mul x_3)))) mul ((1.2320458216881631 mul x_2) add ((-1.2320722215082451 mul x_3) add (0.003460400055096115 mul ((-1.708502171873059e-06 add (0.9266154612178797 mul x_2)))**2)))))),0.010998933,0.989000859,0,0,0,0,45,0.989069932,0,0,0,0,45,2715.122525,5
