formula,problem,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
???,feynman_I_15_10,((inv((8.50451246720299 add (-0.10920969755797648 mul x_0))) mul x_0) mul ((9.070703060046517 mul x_1) sub (-6.694524185114228 mul (x_0 mul ((0.002730124666062561 mul x_0) add (-0.007167117152578741 mul x_2)))))),0.000952038,0.994307283,0,0,0,1,24,0.994483716,0,0,0,1,24,42.71196818,3
(t-u*x/c**2)/sqrt(1-u**2/c**2),feynman_I_15_3t,(-0.009973211359381316 add ((1.0015252633814207 mul x_3) sub (-1.2992508616066296 mul (((-0.6371070132733607 mul x_0) add (0.3576638867879336 mul (x_2 mul x_3))) mul exp((-0.14229138277075895 add (-0.4763683722300118 mul x_1))))))),8.36E-05,0.999412192,1,0,0,1,24,0.999432774,1,0,0,1,24,56.39576888,4
(x-u*t)/sqrt(1-u**2/c**2),feynman_I_15_3x,(2.0576935701122134 add ((-1.3796424749319933 mul x_1) sub (4.42012565445554 mul (inv((-422.9623635778613 add (6.55130033557305 mul (inv((-0.17741464877073782 add (0.12357724052746934 mul x_2))) mul x_2)))) mul ((-122.79114549263826 mul x_3) add (82.69611181881275 mul x_0)))))),0.000385246,0.99530371,1,0,0,1,29,0.995197431,1,0,0,1,29,55.72092915,4
(u+v)/(1+u*v/c**2),feynman_I_16_6,(-0.16028895563522866 add ((1.0504718035801819 mul x_0) add (3.887015222207714e-06 mul (((178.7854838375066 mul x_0) add (-170.59518708100353 mul x_2)) mul ((-271.30462827015003 mul x_0) sub (5.966426126731745 mul (x_1 mul ((1.0649387279445754 mul x_2) sub (-47.66275051098381 mul cos((-1.8517580078862894 add (-0.32567867228574304 mul x_0)))))))))))),0.000904499,0.993549813,0,0,0,0,36,0.99365307,0,0,0,0,36,296.6942813,3
r*F*sin(theta),feynman_I_18_12,(-0.001987790898408697 add (sin((3.1420744758421573 add (0.9999671610425904 mul x_2))) mul (sin((3.1424282756675432 add (0.04503610910111845 mul x_1))) mul (((1.3712083796767953 mul x_0) add (-6.8557944002919475 mul cos((2.1595347333466157 add (0.003977944786105356 mul x_1))))))**2))),0.000997116,0.998970721,0,0,0,0,29,0.998975141,0,0,0,0,29,48.10106349,3
m*r*v*sin(theta),feynman_I_18_14,(-0.09651626809219752 add ((((2.413073146849259 add (0.8366657792404165 mul x_1)))**2 mul (((-0.4548434546884837 add (-0.15821737635121652 mul x_2)))**2 mul sin((3.1280236427881185 add (-0.9950164703929247 mul x_3))))) mul abs((-0.0029806947523330855 add (-0.4004171396308064 mul x_0))))),0.002005297,0.997986784,0,0,0,0,29,0.997914443,0,0,0,0,29,109.2077672,4
(m1*r1+m2*r2)/(m1+m2),feynman_I_18_4,(0.0006412222170694554 add ((0.9991319023120825 mul x_3) add (0.23507896030883108 mul (((-2.714131681946413 mul x_2) sub (-2.7104776620647537 mul x_3)) mul ((0.6073678166532611 mul cos((-1.3774313772214106 add (-0.32905358811214097 mul x_0)))) add (-1.4211117728655842 mul exp((-0.3037868967302654 add (-0.3665234910911141 mul x_1))))))))),1.80E-05,0.999757351,1,0,1,1,33,0.999756025,1,0,0,1,33,72.64264202,4
1/2*m*(omega**2+omega_0**2)*1/2*x**2,feynman_I_24_6,(-0.43800732652796487 add (((0.004752159421282628 add (0.0914237826374195 mul x_3)))**2 mul (((3.743553633064387 add (1.8277210050980122 mul x_0)))**2 mul (((-0.6880828037787087 mul x_2) add (-0.17309139621744052 mul abs((-1.1458598707537266 add (-3.9745542527146323 mul x_1))))))**2))),0.00207497,0.994411617,0,0,0,0,29,0.994471609,0,0,0,0,29,50.00797772,4
q/C,feynman_I_25_13,(1.7081211855943743 add (inv((-8.550608912664633e-05 add (19.896425850008097 mul x_1))) mul ((19.89638525695131 mul x_0) sub (33.98545542710891 mul x_1)))),3.33E-13,1,1,1,1,1,16,1,1,1,1,1,16,14.02735019,2
arcsin(n*sin(theta2)),feynman_I_26_2,(-0.0010438897431746025 add (cos((1.3994531578112854 add (-0.9441126568682502 mul x_1))) mul inv(((-0.1631732060113648 mul exp((0.915354992077975 add (0.015554428095979251 mul x_1)))) add (-1.4751761764702769 mul inv((-0.03141582004137199 add (-1.188687422739032 mul x_0)))))))),0.002268084,0.997720802,0,0,0,0,27,0.997741474,0,0,0,0,27,30.54273891,2
1/(1/d1+n/d2),feynman_I_27_6,(0.007064215871004066 add ((0.11837766481384525 mul x_1) add (210.4966130840555 mul (cos((1.5724370590291294 add (-0.005285217338271379 mul x_0))) mul exp(((-0.5334262627339702 mul x_2) add (23.7690570921848 mul (x_0 mul inv((-23.311113938035415 add (-43.47132510280115 mul x_1))))))))))),0.000752314,0.995760811,0,0,0,1,30,0.995714545,0,0,0,1,30,38.89104676,3
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),feynman_I_29_16,(1.0126549330825025 add (abs(((30.44119910082212 mul cos((0.04626526246587354 add (0.011075458175656614 mul x_0)))) add (-14.039908676709898 mul abs((-2.1648383454968974 add (-0.0018866444306148073 mul x_1)))))) mul abs(((-38.316010975652745 mul sin(((-0.4709435576289898 mul x_2) add (0.47084656501533395 mul x_3)))) add (-0.02141919209661664 mul x_2))))),0.012886097,0.94076727,0,0,0,0,36,0.940345211,0,0,0,0,36,1996.93159,4
omega/c,feynman_I_29_4,(-5.769526365247414e-07 add (abs((-3.8183658300320255e-07 add (-0.27677197802976017 mul x_0))) mul inv((5.212473254078481 add (1.6795585873522993 mul (abs((-3.3837183885095232 add (0.1796683711143021 mul x_1))) mul cos((3.5514446954087444 add (2.934712654270087e-07 mul x_1))))))))),8.08E-15,1,1,1,1,1,27,1,1,1,1,1,27,16.68319941,2
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,feynman_I_30_3,(0.4370752343153667 add ((((-9.045614185992834 mul cos((1.569782378697474 add (0.03895195732427219 mul x_1)))) add (-0.34947117316682785 mul x_1)))**2 mul (((232.60007465544356 mul sin((-4.689622873667005 add (0.9973603884472584 mul (x_2 mul x_1))))) add (-93.6436164309944 mul x_0)))**2)),0.027112045,0.946979219,0,0,0,0,31,0.947724598,0,0,0,0,31,2257.618729,3
arcsin(lambd/(n*d)),feynman_I_30_5,(0.01050799380637419 add (inv((-4.528862318971434 add (32.77927143928731 mul x_2))) mul exp(((0.7409876528036048 mul x_0) add (1.392527419845419 mul ((-1.4287354229540856 add (0.12169064411177323 mul x_1)))**2))))),0.000975214,0.996652324,0,0,0,1,22,0.996663403,0,0,0,1,22,44.60337806,3
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),feynman_I_32_17,(0.1823570469169508 add (exp(((1.3513130203025192 mul x_2) add (3.347290503197352 mul x_4))) mul exp(((-1.6138930674577707 mul x_5) add ((1.3156617745750059 mul x_3) sub ((-0.663692205678456 mul x_0) add (0.8898556909686168 mul ((-2.338247037246901 add (0.20900711409986678 mul x_1)))**2))))))),0.006521627,0.991297509,0,0,0,0,32,0.990769468,0,0,0,0,32,74.22149014,6
q**2*a**2/(6*pi*epsilon*c**3),feynman_I_32_5,(0.00047675823131947207 add (inv((0.9124184161938853 add (13.885319252980178 mul x_2))) mul ((-0.7292593994667228 add (-0.8492034118360072 mul (exp(((0.3843214458631559 mul x_0) add (-1.1144447011717589 mul x_3))) mul ((2.550834573764063 mul x_1) add (-0.06313113493268968 mul ((-8.55718197366939 add (2.8373893001280135 mul x_0)))**2))))))**2)),0.007878451,0.991123661,0,0,0,0,35,0.990968876,0,0,0,0,35,157.2668254,4
omega_0/(1-v/c),feynman_I_34_1,(0.24696842633810784 add ((-1.8578873835711487 mul (inv((-0.8943647309733589 add (0.3738567243344241 mul x_1))) mul exp(((-0.7014203088316815 mul x_0) add (0.33503780261516697 mul x_2))))) sub (-0.6788338811354799 mul (inv((7.376465037457153 add (-0.9340348557165655 mul x_1))) mul ((-0.33672699843110093 mul x_0) sub (-10.801556591182338 mul x_2)))))),0.000464549,0.997010768,0,0,0,1,36,0.997107847,0,0,0,1,36,41.90596867,3
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,feynman_I_34_14,(0.29248359108779765 add (inv((10.360926196716623 add (-5.3732762331094674 mul (exp((-0.04375453516663815 add (-0.21214398312054744 mul x_0))) mul x_1)))) mul abs((-2.3604043783738677 add (10.674330846000174 mul x_2))))),0.000218284,0.998485072,1,0,0,1,22,0.998499308,1,0,0,1,22,31.86206865,3
(h/(2*pi))*omega,feynman_I_34_27,(5.271648193232864e-07 add ((-1.240136440688671e-07 mul x_1) add ((0.15915489740325098 mul (x_1 mul x_0)) sub (-1.6246101673634498e-07 mul x_0)))),5.53E-14,1,1,1,1,1,15,1,1,1,1,1,15,20.66208768,2
q*v*B/p,feynman_I_34_8,(-0.09984176499920569 add ((inv((0.026397808756613 add (1.9148109904545043 mul x_3))) mul ((-1.441486014031478 add (-0.5044592864449974 mul x_0)))**2) mul ((0.6387113999621641 mul (x_2 mul x_1)) sub ((-0.0043087839675872135 mul x_2) add (-0.1524345516761917 mul exp((-1.3464609761919348 add (-0.18926350232887512 mul x_1)))))))),0.000998015,0.997858162,0,0,0,0,34,0.997933592,0,0,0,0,34,59.23934197,4
I1+I2+2*sqrt(I1*I2)*cos(delta),feynman_I_37_4,(0.22283639725705603 add (abs(((-0.08263682831506818 mul ((12.462382197846054 add (4.894630495543067 mul x_1)))**2) add (-22.44133244721285 mul x_0))) mul (((0.000188464525321393 mul x_0) add (-0.29658358190245004 mul sin((1.581332236803097 add (-0.5020939346554872 mul x_2))))))**2)),0.002055563,0.995054958,0,0,0,0,29,0.99512577,0,0,0,0,29,677.1284404,3
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),feynman_I_38_12,(-0.008713798049616155 add (inv((0.01089562572301246 add (0.1919787824489647 mul x_1))) mul (inv((-5.578356034774663 add (101.31115057240234 mul (x_1 mul x_0)))) mul ((0.006954044617189082 mul exp(((1.9051583276965778 mul x_2) add (3.034442739585353 mul exp((-3.6405742929029765 add (0.06685065237715312 mul x_1))))))) sub ((-33.6542825369883 mul (x_3 mul x_2)) sub (-40.328361944112444 mul x_3)))))),0.004769041,0.993771213,0,0,0,0,43,0.994082214,0,0,0,0,43,25.26203775,4
3/2*pr*V,feynman_I_39_1,(-3.26501693552436e-09 add (abs((8.968052563040146e-09 add (14.20169596081928 mul x_1))) mul abs((8.721391930371332e-11 add (0.10562118803808924 mul x_0))))),5.93E-21,1,1,1,1,1,15,1,1,1,1,1,15,19.90699244,2
1/(gamma-1)*pr*V,feynman_I_39_11,(8.232468249203678e-08 add (inv((-12.061171674009257 add (12.061167566915236 mul x_0))) mul (abs((3.5874313822948506e-05 add (-19.639339826072533 mul x_1))) mul abs((-2.72507908587313e-07 add (0.6141333750484531 mul x_2)))))),5.71E-14,1,1,1,1,1,22,1,1,1,1,1,22,44.77301431,3
n*kb*T/V,feynman_I_39_22,(-0.33321212023405633 add (((0.2584777416762032 add (0.08535345728151132 mul x_0)))**2 mul (((-1.6561238002318581 add (-0.5432105800048486 mul x_1)))**2 mul (inv((0.089249946201922 add (8.416177903509388 mul x_2))) mul ((4.295752236728794 add (1.4356251127468886 mul x_3)))**2)))),0.002979209,0.993569561,0,0,0,0,29,0.99353153,0,0,0,0,29,94.5847013,4
n_0*exp(-m*g*x/(kb*T)),feynman_I_40_1,(-0.1250921536751663 add (((2.862373776083778e-07 add (6.925891801989452e-08 mul x_3)))**2 mul (((20.41335947579862 add (5.154559104791095 mul x_0)))**2 mul (((-9144.57496555719 mul x_1) add ((7696.160811039587 mul x_5) sub (-24502.431375611766 mul inv((0.2692051430978554 add (0.04225392178340044 mul (x_2 mul x_4))))))))**2))),0.042505375,0.936390228,0,0,0,0,35,0.937504093,0,0,0,0,35,3440.765096,6
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),feynman_I_41_16,(-0.00951038877790278 add (((-0.6104158457291655 add (-6.128792255669131 mul x_0)))**2 mul (((15.211884785158157 add (-6.026108821641287 mul (inv((0.12044864816342307 add (64.03732559006197 mul x_4))) mul ((-0.12491494829337127 mul x_3) add (161.6520863817991 mul x_4))))))**2 mul ((-0.14326911086946514 mul x_2) add (-132.67342873498305 mul sin((3.141110868683916 add (0.013594009555971835 mul x_1)))))))),0.001791511,0.997638364,0,0,0,0,41,0.997735503,0,0,0,0,41,605.1486518,5
mu_drift*q*Volt/d,feynman_I_43_16,(1.636871264293963e-06 add (inv((-4.11946727986851e-07 add (2.7434106979275503 mul x_3))) mul (abs((-1.1668590782872761e-08 add (-0.4298638310344532 mul x_1))) mul abs((-1.066118317837832e-05 add (6.382045687778183 mul (x_2 mul x_0))))))),3.70E-15,1,1,1,1,1,24,1,1,1,1,1,24,64.55649686,4
mob*kb*T,feynman_I_43_31,(0.7861786739145826 add ((abs((-0.1160404428904636 add (1.6931764498697037 mul x_1))) mul ((1.2308757390804501 mul x_2) sub (2.7942483183812366 mul ((0.6933523115078459 add (-0.19950458230300672 mul x_0)))**2))) mul ((-0.5880351924250171 add (-0.2021159114838724 mul x_0)))**2)),0.000271134,0.999200953,0,0,0,1,28,0.999193394,0,0,0,1,28,29.7198329,3
1/(gamma-1)*kb*v/A,feynman_I_43_43,(-0.21951519234648376 add (inv((-41549069.75552376 add (51443289.79636398 mul x_0))) mul (((-5777567.795960718 add (-1159253.8720017856 mul x_3)))**2 mul ((0.000724102199712609 add (-0.0015481373709244012 mul (inv((-3908518.907936757 add (-6386396.473019623 mul x_2))) mul ((3012746.341848897 mul x_1) sub (-675807.3783801016 mul x_3))))))**2))),0.004626626,0.99023134,0,0,0,0,35,0.990010907,0,0,0,0,35,113.0996623,4
n*kb*T*ln(V2/V1),feynman_I_44_4,(0.07547596783850473 add ((((2.142518347282934 add (0.7328656282215884 mul x_1)))**2 mul (((-1.986512613611774 add (-0.7042569078006914 mul x_2)))**2 mul ((-1.322450614025257 add (-0.44731306756176337 mul x_0)))**2)) mul (inv((88.33281950584553 add (13.502663029962388 mul (x_3 mul x_4)))) mul ((0.7240622222802651 mul x_4) sub (0.7248751563262066 mul x_3))))),0.005144386,0.994855592,0,0,0,0,39,0.994964535,0,0,0,0,39,458.3222277,5
sqrt(gamma*pr/rho),feynman_I_47_23,(0.2738619101758362 add (inv((-4.716635438731022 add (-2.9092929708374298 mul x_2))) mul ((-2.769842794808763 mul abs((-2.543317060678354 add (-2.793737966131966 mul x_1)))) sub (-0.9045048461047017 mul (((0.6282626181176835 mul x_1) sub (-0.3509683916576942 mul abs((9.716568647869432 add (-1.8087697751683405 mul x_0))))))**2)))),0.000438614,0.996507656,1,0,0,1,33,0.996507964,1,0,0,1,33,77.38248968,3
m*c**2/sqrt(1-v**2/c**2),feynman_I_48_2,(0.8392507345040705 add (((0.00019872163909433844 add (7581.659430724513 mul (sin((-2.87823782713782 add (0.17102571257493634 mul x_0))) mul arctan((-8.280436481782798e-05 add (-0.00032015190860976346 mul x_2)))))))**2 mul sin((1.1504317522783098 add (-2.9999320177729986e-05 mul (x_1 mul ((-519.1552553254078 mul x_0) add (-512.1192082915944 mul x_2)))))))),9.30E-05,0.999722484,0,0,0,1,35,0.999726741,0,0,0,1,35,34.7630856,3
x1*(cos(omega*t)+alpha*cos(omega*t)**2),feynman_I_50_26,(-0.2811058933783832 add (abs((-0.41778295302594004 add (-1.9454867223869348 mul x_3))) mul ((0.23039620066994812 add (-1.7185938297719239 mul (cos((3.1732570140062264 add (-1.0045650070010357 mul (x_2 mul x_1)))) mul arctan((0.26036122221710456 add (0.18797069024651042 mul x_0)))))))**2)),0.030463417,0.951069005,0,0,0,0,29,0.951784913,0,0,0,0,29,2343.116953,4
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),feynman_I_6_2,(0.035699933668005224 add (inv((-2.416900708010193 add (7.1597143209732765 mul x_1))) mul cos((-1.629700366584261 add (2.47132334573257 mul (x_1 mul ((0.8941669664792558 add (-0.15067276038842198 mul x_0)))**2)))))),0.001257273,0.990089342,0,0,0,0,22,0.990057992,0,0,0,0,22,101.8673897,2
exp(-theta**2/2)/sqrt(2*pi),feynman_I_6_2a,(2.265663358611596 add (inv((8.671863485426101 add (0.7349676026312273 mul (inv((2.3063470417805974 add (0.5933733603383335 mul x_0))) mul ((-2.167698118572005 add (1.2098397087350463 mul x_0)))**2)))) mul ((-2.563109622175155 add (-0.057324512075230837 mul x_0)))**3)),7.07E-05,0.999840592,1,0,0,0,27,0.999840965,1,0,0,1,27,11.99332738,1
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),feynman_I_6_2b,(0.10967796401922399 add (exp((-1.8423904353302798 add (-1.4595896784980715 mul x_0))) mul ((4.3689027583778435 mul cos(((1.3900250484157815 mul x_1) add (-1.38726244371425 mul x_2)))) sub (-3.148536710352977 mul x_0)))),0.000317729,0.996334221,1,0,0,1,23,0.996401614,1,0,0,1,23,50.56723666,3
sqrt((x2-x1)**2+(y2-y1)**2),feynman_I_8_14,(0.1396124575092409 add ((0.10804585407270534 mul abs(((-6.733198949873792 mul x_0) add (6.787422970067523 mul x_1)))) sub ((-0.007739238570540538 mul abs(((94.37547426881693 mul x_3) add (-93.98719616593061 mul x_2)))) sub (-0.00988679487311135 mul (cos((2.8938865836285035 add (-1.7816943593030856 mul x_0))) mul (cos((5.819536982093661 add (-1.7913922006749936 mul x_1))) mul (x_1 mul x_3))))))),0.008017673,0.956677354,0,0,0,0,43,0.956929324,0,0,0,0,43,1154.179817,4
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),feynman_I_9_18,(0.01576821179789025 add (exp((-7.184670032707011 add (-0.36625811663546315 mul x_7))) mul ((((-0.2124296516861546 mul x_5) add (1.6000465780421738 mul (((-0.7784935374815283 mul x_5) add (1.9604778509383893 mul x_3)) mul x_2))) mul ((-0.11188336624710193 mul ((6.664303278167916 add (2.518193798229745 mul x_0)))**2) add (1.113263361813315 mul x_5))) mul (exp(((-0.8928045482058512 mul x_3) add (0.37394610607506007 mul x_8))) mul (((1.0007771411243394 mul x_1) sub (0.04303113748555852 mul x_2)) mul ((-4.342971112762036 add (-0.4237269727136438 mul (x_4 mul x_6))))**3))))),0.001231118,0.992213013,0,0,0,1,63,0.992017669,0,0,0,1,63,62133.4049,9
???,feynman_test_1,(-0.4571102521897985 add (exp(((0.7907625681851826 mul (x_3 mul x_4)) add (1.2196516864926037 mul x_1))) mul (inv((-1162.4135550708706 add (1705.7084929042096 mul x_5))) mul exp(((1.294892676382547 mul x_0) add ((1.2755320018558083 mul x_2) sub (-3.742056822187579e-18 mul exp((42.51270979155835 add (-1.2802556002307743 mul x_6)))))))))),0.011581783,0.985846502,0,0,0,0,37,0.987061497,0,0,0,0,37,4485.909955,7
???,feynman_test_10,(-0.23637873216030705 add ((-0.015400540413755387 mul (x_2 mul ((8.566366115505254 mul x_1) sub (-7.629485996846347 mul x_2)))) add ((1.5342425281502627 mul x_2) sub (-0.15135867378444537 mul abs(((0.4495142764658463 mul x_0) add (-2.8332618924192006 mul x_1))))))),0.000124186,0.996978094,1,0,0,1,28,0.996962516,1,0,0,1,28,22.69475055,3
???,feynman_test_11,(-0.002587600367415126 add (((0.4023458046957974 mul x_1) sub (-1.6330020369726548 mul abs((1.9128875098421467 add (-0.6377633757689618 mul x_1))))) mul (((4.036080173263047 mul x_0) sub (-2.9291728598272093 mul sin((-0.2632941862445012 add (0.17785219683971495 mul x_3))))) mul ((-0.5021844145657964 mul sin((-3.788187996951952 add (0.8084621039972033 mul x_3)))) add (-0.5190922079437957 mul (x_2 mul sin((3.4690485453261832 add (-0.30905674876264516 mul x_3))))))))),0.00129858,0.994690812,0,0,0,0,47,0.994792524,0,0,0,0,47,1760.851564,4
???,feynman_test_12,(-2.343534576954823 add (inv((-125.86414771062428 add (197.62168212908497 mul x_1))) mul (((1.909731979051741 add (0.5552585174538338 mul x_0)))**2 mul abs((-25.581310671067026 add (-30.320443904623886 mul (x_2 mul exp(((0.2024449550723621 mul x_3) add (-0.0004739182853466118 mul x_4)))))))))),0.003636809,0.992433408,0,0,0,0,31,0.992589053,0,0,0,0,31,426.3063412,5
???,feynman_test_13,(0.0009382512265127236 add (inv(((0.24407085261444011 mul ((8.369318064971798 add (3.30809891160344 mul x_4)))**2) add (-2.7096732710161455 mul x_1))) mul exp(((0.28762186200831497 mul ((1.9338340675146009 add (-0.6210768399104425 mul x_3)))**2) add ((-0.2500733272722337 mul x_2) add (0.3290769435663821 mul x_0)))))),0.018342101,0.951006609,0,0,0,0,33,0.949494945,0,0,0,0,33,635.6692812,5
???,feynman_test_14,(0.08996695201743637 add ((inv((-15.26221693040422 add (-0.6238223163279738 mul x_4))) mul (sin((1.5638302587103456 add (-0.9993399548087127 mul x_1))) mul ((6.1978254747869705 mul x_0) sub (-0.02997098883184708 mul ((-5.234092398419659 add (-7.465889196339516e-07 mul x_0)))**2)))) mul (((0.6971139292009507 mul x_2) sub (2.2225655386575123 mul exp(((-1.20355391733332 mul x_2) add (0.8143102164124351 mul x_3))))) mul x_4))),0.065686522,0.934312707,0,0,0,0,45,0.937381751,0,0,0,0,45,9892.126796,5
???,feynman_test_15,(-0.3111304877258118 add (inv((-3.649764349675299 add (0.11558080260234344 mul (cos((2.7911801155661644 add (1.1125086603019532 mul x_3))) mul ((3.1560989178780856 mul x_1) add (3.4139445551778995 mul cos((-12.154480140846177 add (-0.21311525561591177 mul x_0))))))))) mul ((-5.67044062593802 mul cos((1.3856922267251188 add (-0.0033490377174569107 mul x_3)))) add (-3.656630462753559 mul x_2)))),0.000724554,0.995117689,0,0,0,1,39,0.995138315,0,0,0,1,39,1063.568995,4
???,feynman_test_16,(-14.560917664970711 add ((3.0867726341690664 mul x_5) add ((0.03671201017364394 mul (((0.2655073307550491 add (0.5719354804169655 mul x_1)))**2 mul ((-0.013838961001480372 mul ((52.747269316360615 add (-1.9754473506412955 mul x_2)))**2) sub (-72.9875948800818 mul x_0)))) add (0.08609129171652904 mul (((-6.683538640949552 add (-0.6989919050025208 mul x_1)))**2 mul (x_3 mul exp(((-0.07792751193778827 mul x_2) add ((-0.1385343507101322 mul x_0) add (0.24229431194006326 mul x_4)))))))))),0.002341498,0.991094027,0,0,0,0,51,0.991163132,0,0,0,0,51,12291.49852,6
???,feynman_test_17,(57.850950299337256 add ((inv((0.12204069632519937 add (0.7095772928836862 mul x_3))) mul ((-13.40911250184756 add (11.48779101718694 mul x_4)))**2) mul (((-0.9110832621042423 add (-0.3084930331960551 mul x_0)))**2 mul (((0.14184645534806714 add (0.03691886414369527 mul x_5)))**2 mul ((0.006877932344724654 mul x_2) add (4.348108889985769 mul ((0.0635250144836705 add (-0.5183758002767528 mul x_1)))**2)))))),0.003661529,0.995031233,0,0,0,0,42,0.994976891,0,0,0,0,42,1095.159485,6
???,feynman_test_18,(0.0004195978268636329 add (inv((0.8275660684683951 add (42.93472895166635 mul x_0))) mul ((0.006838348946427856 mul ((-9.189907069735638 add (-26.115066257184555 mul x_3)))**2) add (6.657233100010856 mul (((-0.39637717798563576 add (1.6528263488586605 mul x_4)))**2 mul exp(((-1.287775979370986 mul x_2) add (0.3507822671349239 mul x_1)))))))),0.004445925,0.990511763,0,0,0,0,35,0.990261788,0,0,0,0,35,1018.573124,5
???,feynman_test_19,(-0.6140966062345061 add ((((-0.10059767127079897 add (-0.2614247944488074 mul x_5)))**2 mul inv((0.0290447613828319 add (0.8248738672295156 mul x_0)))) mul (((-3.7502015977021954 mul x_1) sub ((-32.373861772863954 mul x_4) add (99.04083323901847 mul inv((-3.8467542548332236 add (5.399698130468982 mul x_2)))))) mul ((0.06295139777971157 add (-0.17332390233777414 mul x_3)))**2))),0.026355427,0.96461209,0,0,0,0,39,0.963971734,0,0,0,0,39,4720.461212,6
???,feynman_test_2,(-0.46366587921187213 add (inv((4.222792293454322 add (-8.066717602721342 mul x_2))) mul (((-0.27915657908674274 mul x_3) add (-1.1498215208218219 mul exp(((0.4327357444768878 mul x_0) add (0.2789667125762146 mul x_1))))) mul ((3.6163628371366228 mul cos(((-1.0011492265424355 mul x_4) add (0.9982499756995293 mul x_5)))) add (27.613917296162402 mul inv((11.105906517992302 add (-1.1499740176569269 mul x_1)))))))),0.005576223,0.99199248,0,0,0,0,43,0.992034622,0,0,0,0,43,6097.480029,6
???,feynman_test_20,(inv((-6.392416396971444 add (7.781754161777954 mul x_4))) mul (inv((-0.21824361741106213 add (0.4984130366285458 mul x_5))) mul (exp(((-0.2531909287854005 mul x_5) add ((-1.7395977167624268 mul x_0) sub (-0.6249897376960811 mul x_3)))) mul exp(((0.5549311735168356 mul x_2) add (0.8177615512377763 mul x_1)))))),0.036140633,0.96344589,0,0,0,0,35,0.942407736,0,0,0,0,35,3469.485232,7
???,feynman_test_3,(0.007677977691128428 add (abs((-0.006281194750614686 add (0.9588816952715911 mul x_0))) mul ((-1.140352159938846 mul x_1) add (1.3456150196342636 mul cos(((-1.285591094136146 mul x_3) add (1.284318996966214 mul x_2))))))),0.000939231,0.993985919,0,0,0,1,23,0.993871161,0,0,0,1,23,209.3347764,4
???,feynman_test_4,(-6.957479596032816 add ((-0.18798858854024572 mul x_2) add (-1.9313368668079332 mul (((-7.615089888423763 mul x_1) add ((-0.36666860443260585 mul x_4) sub ((125.38861617483552 mul x_0) add (104.64383055109401 mul cos((0.06296882105250486 add (-30.198881822212435 mul (x_3 mul inv((11.20916241484572 add (117.97806351779927 mul x_4))))))))))) mul inv((23.429848171296044 add (29.403569090549464 mul x_0))))))),0.000149564,0.99498124,1,0,0,1,42,0.995002525,1,0,0,1,42,37.29929018,5
???,feynman_test_5,(-0.18660424187643637 add (inv((3.840570586175096 add (2.095204527681772 mul x_1))) mul (((-1.719919903600341 add (-2.3106904866514566 mul x_0)))**2 mul exp(((-0.13191818344317988 mul x_2) add (2.0775942721037373 mul exp((-0.8836167454328615 add (-0.24831358563630954 mul x_3))))))))),0.000437219,0.997566198,0,0,0,1,29,0.997539789,0,0,0,1,29,51.11410284,4
???,feynman_test_6,(0.984445788523376 add (exp(((-2.0358719258457754 mul x_5) add (-0.8090782020310799 mul x_4))) mul (exp(((-0.8028755611315985 mul x_3) add (-0.3368876459492689 mul x_2))) mul (exp(((4.314493447987627 mul arctan(((0.16141427875103057 mul x_0) add (0.6048109668488578 mul x_1)))) add (0.3375134181366544 mul x_6))) mul x_0)))),0.002249271,0.993358868,0,0,0,1,37,0.991589796,0,0,0,1,37,3994.850767,7
???,feynman_test_7,(0.7195868389660326 add ((1.0916764310100497 mul x_0) sub (-0.11625954997043254 mul (inv((-9.129286834993225 add (1.0590100380046594 mul x_0))) mul ((-89.2423117968544 mul x_1) add ((25.50356156865751 mul exp(((0.6257557869889736 mul x_2) add (-1.356802514864987 mul x_4)))) sub (-9.399482853003509 mul x_3))))))),0.00045015,0.990398386,1,0,0,1,33,0.990544412,1,0,0,1,33,45.21063542,5
